income,race,sex
70400,B/AA,Male
30000,W,Female
27000,W,Female
70000,B/AA,Female
36000,W,Female
72500,W,Male
115000,W,Male
47500,W,Female
40000,W,Female
95000,W,Female
110000,W,Male
62000,W,Female
45000,W,Male
28600,W,Male
70300,W,Female
55000,W,Female
20000,W,Female
58000,W,Male
60000,W,Female
12000,W,Male
45000,Multi,Female
2500,W,Female
80000,W,Female
38000,W,Male
50000,W,Male
33000,W,Female
77000,W,Male
130000,A/P,Male
68500,W,Male
51000,B/AA,Male
25000,W,Male
51000,W,Female
24000,W,Male
50000,W,Female
30000,W,Male
70000,W,Male
120000,W,Male
29300,W,Female
29000,Native Am.,Female
9300,W,Female
32000,W,Female
85000,W,Male
20000,W,Male
7000,W,Female
8810,W,Female
55000,W,Female
12000,W,Male
169000,W,Male
53600,W,Female
40000,W,Female
40000,W,Female
280000,W,Male
55000,W,Female
26000,W,Female
34000,W,Female
15200,Native Am.,Female
46000,A/P,Male
7000,W,Female
20000,W,Male
92400,W,Male
75000,W,Male
76000,W,Female
65000,W,Male
39700,W,Female
65000,W,Male
68000,W,Male
75000,A/P,Male
40000,W,Female
50000,W,Male
19800,Multi,Male
400,W,Male
11000,W,Female
34600,W,Male
56000,B/AA,Female
131000,B/AA,Male
48000,W,Male
40000,W,Female
50000,W,Female
145000,W,Male
25000,W,Female
50000,W,Male
57000,W,Female
47000,W,Female
90000,W,Male
15000,W,Female
49000,W,Male
120000,W,Male
175000,W,Male
140000,W,Female
38000,B/AA,Female
125200,W,Female
62000,W,Male
5000,W,Female
176000,B/AA,Male
25000,W,Male
28000,Native Am.,Female
51000,W,Male
12500,W,Male
9600,B/AA,Female
25000,A/P,Male
48200,A/P,Female
22000,W,Male
220000,W,Male
56000,W,Female
45000,B/AA,Male
62000,W,Male
35000,W,Male
28000,W,Female
213000,W,Male
140000,W,Female
45600,W,Male
26200,W,Female
25000,W,Female
65000,A/P,Male
25000,W,Male
23300,W,Male
35000,W,Female
13300,W,Female
75250,W,Male
75000,W,Male
12000,W,Female
29100,W,Male
80000,W,Male
30000,W,Female
60000,W,Male
89000,W,Female
37000,W,Male
15600,W,Female
39000,W,Female
25000,W,Female
18000,B/AA,Female
45340,W,Female
30000,W,Female
17000,W,Female
55000,W,Male
7800,W,Male
25000,Multi,Female
77000,W,Female
14500,W,Female
68000,W,Female
40000,W,Male
90000,B/AA,Female
60000,W,Male
52000,W,Female
35000,W,Male
35000,W,Female
30000,Multi,Male
70000,W,Male
50000,W,Female
5000,W,Female
75000,W,Male
46500,W,Female
84300,W,Male
50000,W,Male
30000,B/AA,Female
10000,W,Male
6000,W,Female
20000,Native Am.,Male
30000,W,Male
38700,W,Male
53000,W,Female
422000,W,Male
75000,W,Male
47000,W,Male
58000,W,Female
59200,W,Male
30000,B/AA,Female
40000,B/AA,Male
41000,W,Female
42000,W,Female
60000,W,Male
32000,W,Male
20000,W,Female
38000,W,Female
47500,W,Female
54000,W,Male
21000,W,Male
18000,W,Female
20000,W,Female
3100,B/AA,Female
18670,B/AA,Female
53000,W,Male
25000,W,Male
30000,W,Male
40500,W,Female
65000,W,Male
33800,W,Male
112000,W,Male
77000,W,Male
21000,W,Male
21600,B/AA,Female
45000,W,Male
35000,W,Female
12000,B/AA,Female
72000,W,Female
25800,W,Male
45000,W,Male
37000,W,Male
39000,W,Female
12000,W,Male
660,A/P,Female
24000,B/AA,Female
50100,W,Female
105000,A/P,Male
37800,B/AA,Female
25000,B/AA,Female
36000,W,Male
35000,W,Female
22000,W,Female
64110,W,Male
5350,W,Female
149000,W,Female
15000,W,Female
56000,W,Female
40000,W,Male
19400,A/P,Female
26000,W,Male
12000,A/P,Male
120000,W,Male
25000,Native Am.,Female
30000,W,Female
50000,W,Female
21000,W,Female
19000,W,Female
75000,W,Male
95000,A/P,Male
7000,W,Male
135000,W,Male
38100,B/AA,Male
13000,W,Male
50000,B/AA,Male
75000,W,Male
25000,W,Female
79000,W,Female
40000,W,Female
90000,W,Male
3500,W,Male
45000,W,Male
75000,A/P,Male
23000,W,Male
30000,W,Male
34000,W,Female
250000,W,Male
3600,W,Female
85000,W,Male
30000,B/AA,Male
60000,W,Male
19300,W,Male
28000,A/P,Male
16000,W,Female
432000,W,Male
87000,W,Female
75000,W,Female
43000,W,Female
62000,A/P,Female
40000,A/P,Male
85200,A/P,Male
20000,A/P,Male
16200,W,Female
105000,W,Female
22000,W,Female
25000,W,Female
153700,W,Male
120000,Multi,Male
30000,W,Female
19200,W,Male
55000,B/AA,Male
95000,Multi,Male
200000,W,Female
136000,A/P,Male
2300,A/P,Male
565000,A/P,Female
130000,W,Female
215000,W,Male
40000,W,Male
160000,A/P,Female
4000,W,Female
38000,A/P,Female
20000,A/P,Male
82000,A/P,Male
75500,A/P,Male
35000,Native Am.,Male
100000,A/P,Female
120000,W,Male
150000,W,Male
443700,W,Male
30000,W,Female
30000,W,Female
45000,W,Male
171800,W,Female
110000,W,Female
64000,W,Female
20000,A/P,Female
32000,A/P,Male
12000,W,Female
100000,W,Female
57600,B/AA,Male
200000,W,Female
48000,A/P,Female
128000,W,Male
24500,Native Am.,Female
30000,W,Male
77000,A/P,Female
82000,W,Male
70000,A/P,Male
45000,W,Male
28700,W,Male
27000,W,Female
130000,W,Female
50000,W,Male
11800,W,Female
10000,A/P,Female
27000,A/P,Female
73000,W,Male
53000,W,Female
30000,W,Male
161200,Multi,Male
26000,Multi,Male
40000,Native Am.,Male
20000,Multi,Male
25000,W,Female
10000,W,Female
6000,W,Female
264000,W,Male
48000,B/AA,Female
30000,A/P,Male
20000,A/P,Female
85100,W,Female
102000,W,Male
160800,W,Male
12000,W,Female
23000,W,Male
28000,A/P,Male
92000,W,Female
97000,W,Male
40100,W,Female
72000,W,Male
30000,W,Female
115000,W,Male
33400,W,Male
82000,Multi,Female
25000,W,Female
150000,W,Male
95000,A/P,Male
75000,Multi,Male
42200,W,Female
82000,A/P,Female
58000,W,Male
24000,B/AA,Female
39600,W,Male
50000,W,Male
52000,A/P,Male
40000,W,Male
83050,A/P,Female
325000,W,Male
43000,W,Male
176000,Multi,Female
93000,W,Female
43000,W,Male
100000,B/AA,Male
200000,W,Male
12000,W,Male
8000,A/P,Male
50000,W,Male
30000,Multi,Female
10000,A/P,Male
50000,W,Male
25000,W,Male
36000,B/AA,Female
160000,A/P,Female
36000,Multi,Male
201000,W,Female
65000,W,Male
87000,A/P,Male
50000,A/P,Male
30000,W,Female
118000,Multi,Female
45000,W,Female
48000,B/AA,Male
107000,W,Male
30000,W,Female
60000,W,Female
111500,W,Female
10000,W,Female
23000,W,Male
15600,W,Female
38000,W,Male
55000,W,Male
50000,W,Male
18000,W,Female
29100,A/P,Male
15000,W,Female
120000,A/P,Male
110000,W,Female
19200,W,Male
30000,A/P,Male
85000,W,Female
95000,W,Female
46100,W,Female
65000,A/P,Female
60000,W,Female
82900,W,Female
200000,A/P,Female
22000,W,Female
57000,W,Male
13000,A/P,Female
22500,B/AA,Female
85000,W,Male
100000,W,Male
200000,Multi,Female
86000,W,Male
210000,A/P,Female
72700,W,Female
130100,A/P,Male
130000,W,Female
95000,W,Female
100000,W,Male
83100,B/AA,Female
16000,A/P,Female
30000,W,Female
58000,Multi,Female
4230,W,Male
565000,W,Male
55000,A/P,Female
80000,W,Male
120000,W,Male
124000,W,Female
120000,A/P,Male
40000,W,Male
58000,A/P,Female
110000,W,Male
15200,W,Female
108240,A/P,Female
16340,W,Female
25000,A/P,Male
275000,W,Male
70000,Multi,Female
75000,W,Male
39000,A/P,Male
163600,W,Male
480,W,Male
100000,A/P,Female
44100,W,Male
18000,W,Male
40000,W,Male
49000,W,Female
12000,A/P,Female
40900,W,Male
50000,B/AA,Male
43000,A/P,Male
130000,W,Female
50000,W,Male
47000,W,Female
57000,B/AA,Male
75000,A/P,Male
50000,W,Female
100000,W,Male
58000,W,Male
40000,W,Male
15400,A/P,Female
157000,W,Female
60000,A/P,Female
116000,W,Male
50000,W,Male
302000,Multi,Male
14000,B/AA,Female
451000,W,Female
125000,A/P,Male
70000,Multi,Female
65000,W,Female
8400,W,Female
85000,W,Male
50000,W,Male
70000,W,Female
36000,W,Female
60000,W,Male
80000,A/P,Female
210000,A/P,Male
2100,B/AA,Female
20000,A/P,Female
76000,W,Female
55000,W,Male
73000,W,Male
70000,Multi,Male
45000,W,Female
38500,W,Male
7000,B/AA,Female
70000,Multi,Male
22000,W,Male
60000,W,Male
65000,W,Male
35050,A/P,Female
24000,A/P,Male
63000,W,Female
82000,W,Female
3000,A/P,Female
27000,W,Female
36000,A/P,Male
100000,W,Male
26000,W,Male
565000,W,Male
62000,W,Male
18200,W,Female
55000,W,Female
21000,A/P,Female
15000,A/P,Male
32000,W,Female
55000,W,Female
54000,W,Female
110000,A/P,Male
60000,A/P,Male
113460,W,Female
60000,W,Female
6000,W,Male
32000,W,Male
60000,Multi,Female
95400,W,Male
64000,W,Male
2400,Multi,Female
90000,W,Male
80000,W,Male
81000,W,Female
55000,A/P,Male
50000,B/AA,Male
90000,A/P,Male
120000,W,Male
78000,W,Female
12000,A/P,Male
90000,W,Female
45400,W,Male
53000,Native Am.,Female
80000,W,Female
75000,A/P,Female
150000,W,Male
150000,W,Male
38000,W,Female
50000,W,Male
65000,A/P,Male
191000,W,Male
70800,W,Female
18000,W,Male
6000,Multi,Male
86400,Native Am.,Male
35000,W,Male
144900,W,Male
75000,W,Male
37000,A/P,Male
104000,W,Female
50000,W,Male
150000,A/P,Male
20000,W,Male
59400,W,Male
100000,B/AA,Male
200000,W,Male
209700,A/P,Male
50000,W,Male
2400,W,Female
10000,W,Male
31200,W,Female
47000,W,Male
569500,W,Male
55000,B/AA,Male
60000,W,Female
54000,W,Male
34000,W,Female
83000,W,Female
22800,W,Male
60000,W,Male
138000,W,Male
65000,W,Male
40000,W,Female
11100,W,Female
32600,W,Male
146000,A/P,Male
37200,W,Female
125000,A/P,Male
20100,W,Female
4200,W,Female
130000,W,Male
372370,W,Male
15900,W,Female
65000,W,Male
91000,W,Female
30000,B/AA,Male
15000,W,Male
13000,B/AA,Female
60000,W,Male
93000,W,Male
10000,W,Male
130000,W,Male
30000,A/P,Male
100000,W,Male
30000,W,Female
22000,Multi,Male
46000,A/P,Male
31000,W,Female
800,W,Female
35000,W,Female
533000,W,Female
67700,W,Female
28000,W,Female
50000,A/P,Female
35000,W,Female
24200,W,Male
200000,W,Male
80000,A/P,Female
126200,W,Male
80000,W,Female
15000,W,Female
29600,W,Female
57500,W,Female
17000,W,Female
98000,B/AA,Female
137000,A/P,Male
30000,A/P,Female
42000,W,Male
50000,W,Male
41700,W,Male
14000,W,Male
24000,A/P,Female
134000,W,Male
38000,W,Male
130000,W,Female
37050,W,Female
30000,W,Female
90000,W,Male
30000,W,Male
35000,W,Male
78000,A/P,Female
130000,W,Male
88000,A/P,Female
210200,A/P,Male
55000,B/AA,Female
25000,W,Male
30000,Multi,Female
60000,A/P,Female
100000,W,Male
39000,W,Female
80000,W,Male
595000,Multi,Male
96000,W,Female
80000,W,Male
100060,W,Male
61000,W,Female
78000,B/AA,Female
50000,W,Female
20000,W,Male
85000,W,Male
72000,W,Female
9000,W,Male
20000,A/P,Male
20000,W,Female
25000,A/P,Male
100000,A/P,Male
32000,W,Male
85000,W,Female
37000,W,Male
70000,A/P,Male
75000,A/P,Male
45000,B/AA,Male
48000,W,Female
85000,W,Female
97000,A/P,Female
125000,W,Male
25000,A/P,Male
322000,W,Male
81000,A/P,Male
22800,Native Am.,Female
5000,W,Male
7500,A/P,Male
20200,W,Male
86000,W,Male
40000,W,Female
114000,W,Male
45000,Native Am.,Female
25000,W,Female
12000,Multi,Female
60000,A/P,Female
230000,W,Female
123000,A/P,Male
22500,W,Male
18000,W,Male
102000,W,Female
50000,W,Female
57000,A/P,Male
28000,W,Female
52000,A/P,Male
24000,W,Male
42600,W,Male
48000,W,Female
86000,A/P,Female
96000,W,Female
13400,A/P,Female
285000,W,Male
47650,W,Male
20000,W,Female
100000,W,Male
150000,W,Male
25000,Multi,Male
70000,A/P,Female
65000,W,Male
18700,A/P,Female
24400,W,Female
37500,W,Male
108000,Multi,Female
25000,B/AA,Female
47500,Multi,Female
15000,W,Male
109100,W,Male
25000,W,Female
27000,W,Female
20000,W,Male
80000,W,Female
70000,W,Male
18000,W,Female
75000,W,Male
90000,A/P,Male
32000,W,Female
50000,W,Male
72000,W,Female
32000,W,Male
40000,W,Male
100000,W,Male
50000,W,Female
600,W,Female
165000,W,Female
40000,W,Female
120000,W,Male
42000,W,Female
153000,W,Female
11000,W,Male
32000,W,Female
20300,W,Female
71000,W,Female
98000,W,Male
565000,A/P,Male
20000,A/P,Male
115000,W,Female
35200,W,Male
26000,A/P,Female
80000,A/P,Female
114000,W,Male
40000,W,Female
29000,W,Male
25000,A/P,Female
28200,W,Female
170000,A/P,Male
115000,W,Female
26330,B/AA,Male
48000,B/AA,Female
120000,W,Male
45000,A/P,Male
52000,W,Male
100000,W,Male
43000,W,Male
17000,W,Female
76000,W,Female
65000,A/P,Female
10700,W,Male
26000,W,Male
23600,W,Male
6000,W,Female
565000,W,Female
190000,W,Female
60000,W,Male
210000,W,Female
92000,W,Male
70000,W,Male
18500,W,Male
16000,W,Male
49000,W,Male
48000,W,Male
90000,W,Male
126000,W,Female
20000,A/P,Female
114000,W,Male
100000,Multi,Male
37800,A/P,Female
240000,A/P,Male
85500,W,Female
18000,W,Male
43000,W,Male
45000,A/P,Male
5000,W,Male
150000,Native Am.,Male
50000,W,Male
300000,A/P,Female
18700,W,Female
95000,W,Female
175000,W,Female
115000,W,Female
19100,W,Male
171000,W,Female
12500,W,Female
25000,W,Female
100000,A/P,Male
110000,W,Male
250000,W,Male
23000,W,Male
101000,A/P,Female
8000,W,Female
31900,W,Male
250100,W,Female
20000,W,Female
40000,W,Male
210000,W,Male
40000,A/P,Female
80000,A/P,Female
110000,W,Male
150000,W,Male
40000,W,Female
34000,W,Female
115000,A/P,Female
15000,W,Female
25000,Multi,Female
25000,Native Am.,Male
50000,W,Female
30000,W,Male
50000,A/P,Female
145000,Multi,Male
60000,A/P,Male
50300,W,Male
60000,W,Male
30000,W,Male
40000,A/P,Male
6000,Multi,Male
15300,A/P,Female
60000,W,Female
250000,W,Male
54600,W,Female
140000,A/P,Male
60000,B/AA,Female
78300,W,Male
50000,A/P,Male
25000,W,Female
80000,W,Male
160000,W,Male
22300,W,Female
35000,W,Male
6600,W,Male
50000,W,Male
240000,W,Male
8400,W,Male
71000,W,Male
33000,B/AA,Male
125000,W,Female
42900,W,Female
120000,W,Female
23800,W,Female
30000,W,Male
10000,W,Male
135000,W,Male
17000,W,Male
34000,Native Am.,Female
77000,Multi,Female
12000,B/AA,Female
153200,W,Male
4800,Multi,Female
22000,W,Female
33000,W,Male
4000,W,Female
11000,A/P,Female
200000,W,Male
52000,W,Female
96000,A/P,Male
85500,A/P,Female
96000,W,Female
80000,A/P,Female
316000,W,Male
15400,W,Male
45000,W,Female
150000,W,Male
61000,W,Male
196000,A/P,Male
46000,W,Male
65000,W,Male
87000,W,Male
102000,W,Male
60000,A/P,Male
33000,W,Male
10000,A/P,Male
12800,W,Male
110000,A/P,Male
170120,W,Male
138000,W,Male
69000,W,Female
60000,W,Male
182000,A/P,Male
55000,W,Male
47000,B/AA,Female
60000,W,Male
120000,W,Female
8400,W,Male
3000,A/P,Male
23400,B/AA,Female
98000,W,Female
35000,W,Female
30000,W,Male
31000,W,Female
31900,A/P,Female
140000,A/P,Male
112000,B/AA,Female
50000,W,Male
40900,W,Female
36000,Native Am.,Female
17000,W,Female
24000,Multi,Female
55000,Multi,Male
90000,A/P,Male
79300,A/P,Male
140000,W,Female
8000,W,Female
122000,Multi,Male
18000,A/P,Male
35000,W,Female
30000,W,Male
91000,A/P,Male
18500,W,Male
92000,W,Female
25600,Multi,Male
70000,A/P,Female
60200,W,Female
25200,W,Female
11000,A/P,Female
28000,B/AA,Female
221000,W,Female
30000,A/P,Female
200000,W,Male
59000,B/AA,Female
60000,W,Male
15000,W,Male
43000,W,Male
250000,A/P,Male
205700,Multi,Male
372000,W,Male
50000,A/P,Male
60000,W,Male
60000,W,Female
50000,A/P,Female
40000,W,Male
35000,W,Male
23000,W,Female
22300,W,Male
137630,W,Male
160000,A/P,Male
115000,W,Female
80000,A/P,Male
13500,A/P,Female
59000,W,Male
95000,W,Female
6100,W,Male
100000,W,Male
110000,W,Male
50000,W,Male
86000,W,Male
60000,W,Female
72000,W,Female
33000,B/AA,Male
133000,W,Female
45700,W,Male
100000,Multi,Male
120000,W,Female
37000,W,Female
30000,A/P,Male
70000,W,Female
77700,W,Male
60000,W,Female
89000,W,Male
12000,W,Male
235000,W,Male
16800,W,Female
150000,W,Female
86000,B/AA,Male
60000,A/P,Male
27500,W,Female
94100,A/P,Male
77000,A/P,Male
565000,A/P,Male
15000,A/P,Female
50000,A/P,Female
41500,Multi,Female
88050,A/P,Female
21100,W,Female
60400,W,Male
75000,W,Male
30000,A/P,Male
30000,W,Male
42800,W,Male
110000,W,Male
157000,A/P,Female
13400,A/P,Female
100000,W,Male
7700,W,Male
80000,W,Female
72000,W,Female
960,W,Female
40000,A/P,Female
65000,W,Male
70000,Multi,Male
150000,A/P,Female
104000,W,Male
87200,W,Female
30000,W,Female
25000,W,Female
130000,W,Male
170000,A/P,Male
50000,Native Am.,Male
8600,W,Female
48010,W,Female
27000,A/P,Female
130000,W,Male
102000,W,Female
45000,W,Female
43000,W,Male
40000,W,Male
40000,W,Male
12000,A/P,Male
153000,Multi,Male
30000,W,Female
70000,W,Male
120000,W,Male
572000,A/P,Male
140000,W,Male
92600,W,Female
32000,W,Male
11100,W,Female
90000,Multi,Male
105000,W,Female
100000,W,Male
585000,W,Male
185600,W,Male
1200,B/AA,Female
15000,W,Male
66000,W,Female
90000,W,Male
24000,W,Female
34000,W,Male
40000,W,Female
68100,W,Male
123000,W,Male
175000,W,Male
34000,W,Female
85000,W,Male
23400,A/P,Male
110000,W,Female
100000,A/P,Male
200000,A/P,Female
100000,W,Male
75000,W,Male
58000,W,Female
190000,W,Male
30000,W,Male
65000,W,Female
60000,W,Female
70400,W,Female
18900,W,Female
187000,Multi,Female
53000,B/AA,Male
18000,W,Female
43000,W,Female
90000,B/AA,Male
40000,A/P,Male
25000,W,Male
21000,B/AA,Female
100000,A/P,Female
120000,Multi,Female
20000,A/P,Male
9000,W,Female
9600,A/P,Female
46000,W,Female
6000,Native Am.,Female
106000,W,Male
110000,A/P,Female
22000,W,Male
100000,W,Male
69000,W,Female
18300,B/AA,Female
25000,A/P,Female
60000,W,Female
70000,A/P,Male
20000,W,Male
31100,W,Female
102000,A/P,Female
38200,W,Female
45000,W,Female
53000,W,Male
41200,W,Female
14000,W,Male
156000,W,Male
30000,W,Male
47500,Native Am.,Male
90000,Multi,Male
70000,A/P,Male
6000,Native Am.,Female
5800,A/P,Female
68000,Native Am.,Female
100000,W,Male
60000,A/P,Female
140000,W,Female
79800,W,Male
590000,W,Male
35000,W,Male
20000,W,Male
10000,W,Female
24000,A/P,Female
100000,W,Male
182000,W,Male
15000,W,Male
40000,W,Female
42000,A/P,Female
75000,W,Male
37000,W,Female
34300,W,Female
33800,Multi,Female
40000,W,Male
42000,A/P,Male
12900,W,Female
85000,W,Male
150000,Multi,Male
86000,W,Male
44000,W,Male
120000,W,Male
87000,W,Female
170000,W,Female
60000,A/P,Female
8500,W,Male
80000,Multi,Female
40000,B/AA,Female
12800,W,Female
36000,W,Male
202000,A/P,Male
29000,W,Male
34000,W,Female
38200,W,Male
17000,W,Female
20,A/P,Male
36000,W,Female
373000,W,Male
100000,W,Male
50000,W,Female
35000,W,Male
105000,W,Female
12800,A/P,Female
937000,A/P,Female
15000,Multi,Male
98000,W,Female
21800,W,Male
85000,W,Male
40000,W,Male
38300,W,Male
32000,W,Male
95000,A/P,Female
251000,W,Male
30900,W,Male
42000,W,Female
36000,W,Male
32000,W,Female
45500,W,Female
26400,W,Male
18000,A/P,Male
55000,A/P,Female
47000,W,Male
36000,W,Female
50000,W,Female
96000,W,Female
33000,W,Female
24000,W,Male
80000,B/AA,Male
107000,W,Male
52000,W,Female
25000,W,Male
57000,Multi,Male
23000,W,Female
25000,W,Male
20000,Multi,Male
117000,W,Male
283400,W,Female
45000,W,Female
42000,W,Female
150000,W,Female
74000,W,Female
74500,B/AA,Male
200250,W,Male
60000,W,Female
53000,W,Female
58200,W,Male
15000,W,Female
54500,W,Female
50000,W,Female
95000,W,Male
30000,W,Female
25000,W,Female
40000,W,Female
30000,W,Female
67000,Multi,Male
24400,W,Female
36400,Multi,Male
55000,W,Female
69000,W,Female
98000,W,Female
158000,W,Male
45300,W,Male
498000,W,Male
70000,W,Female
45000,W,Female
36000,W,Male
14000,W,Male
87200,W,Female
44000,W,Female
83000,W,Male
266400,W,Male
63000,W,Female
121000,W,Male
32500,W,Male
25000,W,Male
96000,W,Male
24000,W,Female
50000,W,Female
75000,W,Female
37000,W,Male
62000,W,Male
58500,W,Male
53800,W,Male
35000,W,Female
60000,W,Male
77000,W,Female
55000,W,Male
13000,W,Male
38400,W,Female
55000,W,Male
70000,W,Female
55000,W,Male
80000,W,Female
34000,W,Female
31200,B/AA,Female
34000,W,Female
10000,W,Male
149300,W,Male
70000,W,Female
280000,W,Male
66000,W,Male
40000,W,Male
40000,W,Male
9500,W,Female
52000,W,Female
80000,B/AA,Male
13500,W,Male
47000,W,Female
96000,W,Male
47000,W,Male
15100,W,Male
83000,W,Male
51000,W,Male
26000,W,Female
183100,W,Female
4800,W,Female
10000,W,Female
36000,B/AA,Male
65000,W,Male
44300,W,Female
90000,W,Male
75000,W,Male
40000,W,Male
50000,W,Male
35000,W,Female
49000,W,Female
32000,W,Male
94000,W,Male
150000,W,Male
80000,W,Female
18600,Multi,Female
45000,W,Female
5300,A/P,Male
41000,W,Female
91000,B/AA,Male
85500,W,Female
215000,W,Female
74000,W,Male
528000,W,Male
17200,W,Female
30000,A/P,Female
50000,W,Female
34300,W,Female
56000,W,Male
50000,W,Male
60000,W,Male
55000,W,Male
72000,W,Female
30000,W,Female
42000,W,Female
93000,W,Male
72000,W,Female
20000,Multi,Female
26000,W,Female
50000,Multi,Female
10000,W,Female
30000,W,Male
152000,A/P,Male
8000,W,Male
100000,W,Male
35000,W,Female
125100,W,Female
10000,W,Female
60000,W,Male
504900,W,Male
37000,W,Female
109000,W,Male
110000,W,Female
10000,W,Male
63000,W,Male
90000,W,Male
85000,W,Male
34000,W,Male
24000,W,Male
70000,W,Female
120000,W,Female
130000,W,Male
124000,A/P,Male
40000,W,Male
63000,W,Male
58000,W,Female
185000,W,Male
35000,W,Female
38500,W,Female
130000,W,Male
45000,W,Female
67800,W,Male
110000,W,Male
25000,W,Male
170000,W,Female
31700,W,Male
73800,A/P,Female
1500,W,Female
126000,W,Male
18000,W,Female
111000,W,Female
60000,B/AA,Female
508000,W,Male
20000,W,Male
58000,W,Male
12000,W,Female
24000,A/P,Female
40000,W,Male
95000,W,Female
80000,W,Female
18500,W,Female
68000,W,Male
7000,W,Female
80000,B/AA,Male
72000,W,Male
30000,W,Male
9000,W,Female
498000,W,Female
130000,W,Female
10000,W,Female
22000,W,Female
50000,W,Male
17500,A/P,Female
20000,Multi,Female
80000,W,Female
50000,W,Female
46800,W,Female
7000,W,Female
80000,W,Female
50000,W,Male
100000,A/P,Female
52000,W,Male
61000,W,Male
15300,W,Female
83200,W,Male
25000,B/AA,Female
39700,A/P,Female
75000,W,Male
110000,W,Male
105000,W,Male
96000,A/P,Male
12000,W,Male
171000,W,Female
180000,W,Male
135000,W,Male
90000,W,Female
30000,W,Female
20000,W,Female
25000,W,Male
112000,W,Male
79000,W,Female
182500,W,Male
36000,W,Male
30000,Multi,Male
154800,A/P,Male
64000,W,Male
48000,W,Male
11500,B/AA,Male
47800,W,Male
22000,W,Female
55000,W,Male
79000,W,Male
23000,B/AA,Female
110000,W,Male
34000,W,Female
17000,W,Female
60000,W,Male
20000,W,Female
64000,W,Female
100000,W,Male
250000,W,Male
60000,W,Male
66200,W,Male
25000,W,Male
100000,W,Female
30000,W,Male
110000,W,Female
106000,W,Male
80000,A/P,Male
24000,W,Male
25000,W,Male
30000,W,Male
52000,B/AA,Female
75000,W,Female
48000,W,Male
716200,W,Male
100000,W,Male
115000,A/P,Male
15000,W,Female
107000,W,Female
81000,W,Female
144500,W,Male
80000,W,Male
40100,W,Male
35000,B/AA,Male
87200,W,Male
50000,W,Male
87500,W,Male
75000,W,Male
30000,A/P,Male
60000,W,Female
96000,W,Female
50000,W,Female
48000,B/AA,Male
18000,W,Male
90000,W,Female
51000,W,Female
15000,W,Male
90000,W,Female
60000,W,Female
45000,W,Female
50000,W,Male
35000,W,Female
60000,W,Male
70000,W,Male
56000,W,Male
25000,W,Male
85000,W,Female
40000,W,Male
